Collaborator1,Collaborator2,Type,Publication Name,Title,Co-authors,Keywords
ndos0461,DEN22,Journal article,Human Molecular Genetics,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease,"Amin Al Olama A, Kote-Jarai Z, Schumacher FR, Wiklund F, Berndt SI, Benlloch S, Giles GG, Severi G, Neal DE, Hamdy FC, Donovan JL, Hunter DJ, Henderson BE, Thun MJ, Gaziano M, Giovannucci EL, Siddiq A, Travis RC, Cox DG, Canzian F, Riboli E, Key TJ, Andriole G, Albanes D, Hayes RB, Schleutker J, Auvinen A, Tammela TL, Weischer M, Stanford JL, Ostrander EA, Cybulski C, Lubinski J, Thibodeau SN, Schaid DJ, Sorensen KD, Batra J, Clements JA, Chambers S, Aitken J, Gardiner RA, Maier C, Vogel W, Dörk T, Brenner H, Habuchi T, Ingles S, John EM, Dickinson JL, Cannon-Albright L, Teixeira MR, Kaneva R, Zhang HW, Lu YJ, Park JY, Cooney KA, Muir KR, Leongamornlert DA, Saunders E, Tymrakiewicz M, Mahmud N, Guy M, Govindasami K, O'Brien LT, Wilkinson RA, Hall AL, Sawyer EJ, Dadaev T, Morrison J, Dearnaley DP, Horwich A, Huddart RA, Khoo VS, Parker CC, Van As N, Woodhouse CJ, Thompson A, Dudderidge T, Ogden C, Cooper CS, Lophatonanon A, Southey MC, Hopper JL, English D, Virtamo J, Le Marchand L, Campa D, Kaaks R, Lindstrom S, Diver WR, Gapstur S, Yeager M, Cox A, Stern MC, Corral R, Aly M, Isaacs W, Adolfsson J, Xu J, Zheng SL, Wahlfors T, Taari K, Kujala P, Klarskov P, Nordestgaard BG, Røder MA, Frikke-Schmidt R, Bojesen SE, FitzGerald LM, Kolb S, Kwon EM, Karyadi DM, Orntoft TF, Borre M, Rinckleb A, Luedeke M, Herkommer K, Meyer A, Serth J, Marthick JR, Patterson B, Wokolorczyk D, Spurdle A, Lose F, McDonnell SK, Joshi AD, Shahabi A, Pinto P, Santos J, Ray A, Sellers TA, Lin HY, Stephenson RA, Teerlink C, Muller H, Rothenbacher D, Tsuchiya N, Narita S, Cao GW, Slavov C, Mitev V, UK Genetic Prostate Cancer Study Collaborators/British Association of Urological Surgeons' Section of Oncology, UK ProtecT Study Collaborators, Australian Prostate Cancer Bioresource, PRACTICAL Consortium, Chanock S, Gronberg H, Haiman CA, Kraft P, Easton DF, Eeles RA","Case-Control Studies, Disease Progression, Genetic Predisposition to Disease, Genome-Wide Association Study, Humans, Male, Odds Ratio, Polymorphism, Single Nucleotide, Prostatic Neoplasms, Quantitative Trait Loci, Reproducibility of Results"
ndos0461,AA461,Journal article,Human Molecular Genetics,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease,"Amin Al Olama A, Kote-Jarai Z, Schumacher FR, Wiklund F, Berndt SI, Benlloch S, Giles GG, Severi G, Neal DE, Hamdy FC, Donovan JL, Hunter DJ, Henderson BE, Thun MJ, Gaziano M, Giovannucci EL, Siddiq A, Travis RC, Cox DG, Canzian F, Riboli E, Key TJ, Andriole G, Albanes D, Hayes RB, Schleutker J, Auvinen A, Tammela TL, Weischer M, Stanford JL, Ostrander EA, Cybulski C, Lubinski J, Thibodeau SN, Schaid DJ, Sorensen KD, Batra J, Clements JA, Chambers S, Aitken J, Gardiner RA, Maier C, Vogel W, Dörk T, Brenner H, Habuchi T, Ingles S, John EM, Dickinson JL, Cannon-Albright L, Teixeira MR, Kaneva R, Zhang HW, Lu YJ, Park JY, Cooney KA, Muir KR, Leongamornlert DA, Saunders E, Tymrakiewicz M, Mahmud N, Guy M, Govindasami K, O'Brien LT, Wilkinson RA, Hall AL, Sawyer EJ, Dadaev T, Morrison J, Dearnaley DP, Horwich A, Huddart RA, Khoo VS, Parker CC, Van As N, Woodhouse CJ, Thompson A, Dudderidge T, Ogden C, Cooper CS, Lophatonanon A, Southey MC, Hopper JL, English D, Virtamo J, Le Marchand L, Campa D, Kaaks R, Lindstrom S, Diver WR, Gapstur S, Yeager M, Cox A, Stern MC, Corral R, Aly M, Isaacs W, Adolfsson J, Xu J, Zheng SL, Wahlfors T, Taari K, Kujala P, Klarskov P, Nordestgaard BG, Røder MA, Frikke-Schmidt R, Bojesen SE, FitzGerald LM, Kolb S, Kwon EM, Karyadi DM, Orntoft TF, Borre M, Rinckleb A, Luedeke M, Herkommer K, Meyer A, Serth J, Marthick JR, Patterson B, Wokolorczyk D, Spurdle A, Lose F, McDonnell SK, Joshi AD, Shahabi A, Pinto P, Santos J, Ray A, Sellers TA, Lin HY, Stephenson RA, Teerlink C, Muller H, Rothenbacher D, Tsuchiya N, Narita S, Cao GW, Slavov C, Mitev V, UK Genetic Prostate Cancer Study Collaborators/British Association of Urological Surgeons' Section of Oncology, UK ProtecT Study Collaborators, Australian Prostate Cancer Bioresource, PRACTICAL Consortium, Chanock S, Gronberg H, Haiman CA, Kraft P, Easton DF, Eeles RA","Case-Control Studies, Disease Progression, Genetic Predisposition to Disease, Genome-Wide Association Study, Humans, Male, Odds Ratio, Polymorphism, Single Nucleotide, Prostatic Neoplasms, Quantitative Trait Loci, Reproducibility of Results"
ndos0461,DFE20,Journal article,Human Molecular Genetics,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease,"Amin Al Olama A, Kote-Jarai Z, Schumacher FR, Wiklund F, Berndt SI, Benlloch S, Giles GG, Severi G, Neal DE, Hamdy FC, Donovan JL, Hunter DJ, Henderson BE, Thun MJ, Gaziano M, Giovannucci EL, Siddiq A, Travis RC, Cox DG, Canzian F, Riboli E, Key TJ, Andriole G, Albanes D, Hayes RB, Schleutker J, Auvinen A, Tammela TL, Weischer M, Stanford JL, Ostrander EA, Cybulski C, Lubinski J, Thibodeau SN, Schaid DJ, Sorensen KD, Batra J, Clements JA, Chambers S, Aitken J, Gardiner RA, Maier C, Vogel W, Dörk T, Brenner H, Habuchi T, Ingles S, John EM, Dickinson JL, Cannon-Albright L, Teixeira MR, Kaneva R, Zhang HW, Lu YJ, Park JY, Cooney KA, Muir KR, Leongamornlert DA, Saunders E, Tymrakiewicz M, Mahmud N, Guy M, Govindasami K, O'Brien LT, Wilkinson RA, Hall AL, Sawyer EJ, Dadaev T, Morrison J, Dearnaley DP, Horwich A, Huddart RA, Khoo VS, Parker CC, Van As N, Woodhouse CJ, Thompson A, Dudderidge T, Ogden C, Cooper CS, Lophatonanon A, Southey MC, Hopper JL, English D, Virtamo J, Le Marchand L, Campa D, Kaaks R, Lindstrom S, Diver WR, Gapstur S, Yeager M, Cox A, Stern MC, Corral R, Aly M, Isaacs W, Adolfsson J, Xu J, Zheng SL, Wahlfors T, Taari K, Kujala P, Klarskov P, Nordestgaard BG, Røder MA, Frikke-Schmidt R, Bojesen SE, FitzGerald LM, Kolb S, Kwon EM, Karyadi DM, Orntoft TF, Borre M, Rinckleb A, Luedeke M, Herkommer K, Meyer A, Serth J, Marthick JR, Patterson B, Wokolorczyk D, Spurdle A, Lose F, McDonnell SK, Joshi AD, Shahabi A, Pinto P, Santos J, Ray A, Sellers TA, Lin HY, Stephenson RA, Teerlink C, Muller H, Rothenbacher D, Tsuchiya N, Narita S, Cao GW, Slavov C, Mitev V, UK Genetic Prostate Cancer Study Collaborators/British Association of Urological Surgeons' Section of Oncology, UK ProtecT Study Collaborators, Australian Prostate Cancer Bioresource, PRACTICAL Consortium, Chanock S, Gronberg H, Haiman CA, Kraft P, Easton DF, Eeles RA","Case-Control Studies, Disease Progression, Genetic Predisposition to Disease, Genome-Wide Association Study, Humans, Male, Odds Ratio, Polymorphism, Single Nucleotide, Prostatic Neoplasms, Quantitative Trait Loci, Reproducibility of Results"
gree1192,DEN22,Journal article,Human Molecular Genetics,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease,"Amin Al Olama A, Kote-Jarai Z, Schumacher FR, Wiklund F, Berndt SI, Benlloch S, Giles GG, Severi G, Neal DE, Hamdy FC, Donovan JL, Hunter DJ, Henderson BE, Thun MJ, Gaziano M, Giovannucci EL, Siddiq A, Travis RC, Cox DG, Canzian F, Riboli E, Key TJ, Andriole G, Albanes D, Hayes RB, Schleutker J, Auvinen A, Tammela TL, Weischer M, Stanford JL, Ostrander EA, Cybulski C, Lubinski J, Thibodeau SN, Schaid DJ, Sorensen KD, Batra J, Clements JA, Chambers S, Aitken J, Gardiner RA, Maier C, Vogel W, Dörk T, Brenner H, Habuchi T, Ingles S, John EM, Dickinson JL, Cannon-Albright L, Teixeira MR, Kaneva R, Zhang HW, Lu YJ, Park JY, Cooney KA, Muir KR, Leongamornlert DA, Saunders E, Tymrakiewicz M, Mahmud N, Guy M, Govindasami K, O'Brien LT, Wilkinson RA, Hall AL, Sawyer EJ, Dadaev T, Morrison J, Dearnaley DP, Horwich A, Huddart RA, Khoo VS, Parker CC, Van As N, Woodhouse CJ, Thompson A, Dudderidge T, Ogden C, Cooper CS, Lophatonanon A, Southey MC, Hopper JL, English D, Virtamo J, Le Marchand L, Campa D, Kaaks R, Lindstrom S, Diver WR, Gapstur S, Yeager M, Cox A, Stern MC, Corral R, Aly M, Isaacs W, Adolfsson J, Xu J, Zheng SL, Wahlfors T, Taari K, Kujala P, Klarskov P, Nordestgaard BG, Røder MA, Frikke-Schmidt R, Bojesen SE, FitzGerald LM, Kolb S, Kwon EM, Karyadi DM, Orntoft TF, Borre M, Rinckleb A, Luedeke M, Herkommer K, Meyer A, Serth J, Marthick JR, Patterson B, Wokolorczyk D, Spurdle A, Lose F, McDonnell SK, Joshi AD, Shahabi A, Pinto P, Santos J, Ray A, Sellers TA, Lin HY, Stephenson RA, Teerlink C, Muller H, Rothenbacher D, Tsuchiya N, Narita S, Cao GW, Slavov C, Mitev V, UK Genetic Prostate Cancer Study Collaborators/British Association of Urological Surgeons' Section of Oncology, UK ProtecT Study Collaborators, Australian Prostate Cancer Bioresource, PRACTICAL Consortium, Chanock S, Gronberg H, Haiman CA, Kraft P, Easton DF, Eeles RA","Case-Control Studies, Disease Progression, Genetic Predisposition to Disease, Genome-Wide Association Study, Humans, Male, Odds Ratio, Polymorphism, Single Nucleotide, Prostatic Neoplasms, Quantitative Trait Loci, Reproducibility of Results"
gree1192,AA461,Journal article,Human Molecular Genetics,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease,"Amin Al Olama A, Kote-Jarai Z, Schumacher FR, Wiklund F, Berndt SI, Benlloch S, Giles GG, Severi G, Neal DE, Hamdy FC, Donovan JL, Hunter DJ, Henderson BE, Thun MJ, Gaziano M, Giovannucci EL, Siddiq A, Travis RC, Cox DG, Canzian F, Riboli E, Key TJ, Andriole G, Albanes D, Hayes RB, Schleutker J, Auvinen A, Tammela TL, Weischer M, Stanford JL, Ostrander EA, Cybulski C, Lubinski J, Thibodeau SN, Schaid DJ, Sorensen KD, Batra J, Clements JA, Chambers S, Aitken J, Gardiner RA, Maier C, Vogel W, Dörk T, Brenner H, Habuchi T, Ingles S, John EM, Dickinson JL, Cannon-Albright L, Teixeira MR, Kaneva R, Zhang HW, Lu YJ, Park JY, Cooney KA, Muir KR, Leongamornlert DA, Saunders E, Tymrakiewicz M, Mahmud N, Guy M, Govindasami K, O'Brien LT, Wilkinson RA, Hall AL, Sawyer EJ, Dadaev T, Morrison J, Dearnaley DP, Horwich A, Huddart RA, Khoo VS, Parker CC, Van As N, Woodhouse CJ, Thompson A, Dudderidge T, Ogden C, Cooper CS, Lophatonanon A, Southey MC, Hopper JL, English D, Virtamo J, Le Marchand L, Campa D, Kaaks R, Lindstrom S, Diver WR, Gapstur S, Yeager M, Cox A, Stern MC, Corral R, Aly M, Isaacs W, Adolfsson J, Xu J, Zheng SL, Wahlfors T, Taari K, Kujala P, Klarskov P, Nordestgaard BG, Røder MA, Frikke-Schmidt R, Bojesen SE, FitzGerald LM, Kolb S, Kwon EM, Karyadi DM, Orntoft TF, Borre M, Rinckleb A, Luedeke M, Herkommer K, Meyer A, Serth J, Marthick JR, Patterson B, Wokolorczyk D, Spurdle A, Lose F, McDonnell SK, Joshi AD, Shahabi A, Pinto P, Santos J, Ray A, Sellers TA, Lin HY, Stephenson RA, Teerlink C, Muller H, Rothenbacher D, Tsuchiya N, Narita S, Cao GW, Slavov C, Mitev V, UK Genetic Prostate Cancer Study Collaborators/British Association of Urological Surgeons' Section of Oncology, UK ProtecT Study Collaborators, Australian Prostate Cancer Bioresource, PRACTICAL Consortium, Chanock S, Gronberg H, Haiman CA, Kraft P, Easton DF, Eeles RA","Case-Control Studies, Disease Progression, Genetic Predisposition to Disease, Genome-Wide Association Study, Humans, Male, Odds Ratio, Polymorphism, Single Nucleotide, Prostatic Neoplasms, Quantitative Trait Loci, Reproducibility of Results"
gree1192,DFE20,Journal article,Human Molecular Genetics,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease,"Amin Al Olama A, Kote-Jarai Z, Schumacher FR, Wiklund F, Berndt SI, Benlloch S, Giles GG, Severi G, Neal DE, Hamdy FC, Donovan JL, Hunter DJ, Henderson BE, Thun MJ, Gaziano M, Giovannucci EL, Siddiq A, Travis RC, Cox DG, Canzian F, Riboli E, Key TJ, Andriole G, Albanes D, Hayes RB, Schleutker J, Auvinen A, Tammela TL, Weischer M, Stanford JL, Ostrander EA, Cybulski C, Lubinski J, Thibodeau SN, Schaid DJ, Sorensen KD, Batra J, Clements JA, Chambers S, Aitken J, Gardiner RA, Maier C, Vogel W, Dörk T, Brenner H, Habuchi T, Ingles S, John EM, Dickinson JL, Cannon-Albright L, Teixeira MR, Kaneva R, Zhang HW, Lu YJ, Park JY, Cooney KA, Muir KR, Leongamornlert DA, Saunders E, Tymrakiewicz M, Mahmud N, Guy M, Govindasami K, O'Brien LT, Wilkinson RA, Hall AL, Sawyer EJ, Dadaev T, Morrison J, Dearnaley DP, Horwich A, Huddart RA, Khoo VS, Parker CC, Van As N, Woodhouse CJ, Thompson A, Dudderidge T, Ogden C, Cooper CS, Lophatonanon A, Southey MC, Hopper JL, English D, Virtamo J, Le Marchand L, Campa D, Kaaks R, Lindstrom S, Diver WR, Gapstur S, Yeager M, Cox A, Stern MC, Corral R, Aly M, Isaacs W, Adolfsson J, Xu J, Zheng SL, Wahlfors T, Taari K, Kujala P, Klarskov P, Nordestgaard BG, Røder MA, Frikke-Schmidt R, Bojesen SE, FitzGerald LM, Kolb S, Kwon EM, Karyadi DM, Orntoft TF, Borre M, Rinckleb A, Luedeke M, Herkommer K, Meyer A, Serth J, Marthick JR, Patterson B, Wokolorczyk D, Spurdle A, Lose F, McDonnell SK, Joshi AD, Shahabi A, Pinto P, Santos J, Ray A, Sellers TA, Lin HY, Stephenson RA, Teerlink C, Muller H, Rothenbacher D, Tsuchiya N, Narita S, Cao GW, Slavov C, Mitev V, UK Genetic Prostate Cancer Study Collaborators/British Association of Urological Surgeons' Section of Oncology, UK ProtecT Study Collaborators, Australian Prostate Cancer Bioresource, PRACTICAL Consortium, Chanock S, Gronberg H, Haiman CA, Kraft P, Easton DF, Eeles RA","Case-Control Studies, Disease Progression, Genetic Predisposition to Disease, Genome-Wide Association Study, Humans, Male, Odds Ratio, Polymorphism, Single Nucleotide, Prostatic Neoplasms, Quantitative Trait Loci, Reproducibility of Results"
gree1192,KK101,Journal article,Cancer Causes and Control,"Meat, poultry and fish and risk of colorectal cancer: pooled analysis of data from the UK dietary cohort consortium (vol 21, pg 1417, 2010)","Spencer EA, Key TJ, Appleby PN, Dahm CC, Keogh RH, Fentiman IS, Akbaraly T, Brunner EJ, Burley V, Cade JE, Greenwood DC, Stephen AM, Mishra G, Kuh D, Luben R, Mulligan AA, Khaw KT, Rodwell SA",
gree1499,KK101,Journal article,Cancer Research,Leptin and Soluble Leptin Receptor in Risk of Colorectal Cancer in the European Prospective Investigation into Cancer and Nutrition Cohort,"Aleksandrova K, Boeing H, Jenab M, Bueno-de-Mesquita HB, Jansen E, van Duijnhoven FJ, Rinaldi S, Fedirko V, Romieu I, Riboli E, Gunter MJ, Westphal S, Overvad K, Tjønneland A, Halkjær J, Racine A, Boutron-Ruault MC, Clavel-Chapelon F, Kaaks R, Lukanova A, Trichopoulou A, Lagiou P, Trichopoulos D, Mattiello A, Pala V, Palli D, Tumino R, Vineis P, Buckland G, Sánchez MJ, Amiano P, Huerta JM, Barricarte A, Menéndez V, Peeters PH, Söderberg S, Palmqvist R, Allen NE, Crowe FL, Khaw KT, Wareham N, Pischon T","Adult, Aged, Cohort Studies, Colorectal Neoplasms, Europe, Female, Humans, Leptin, Male, Middle Aged, Nutritional Status, Prospective Studies, Receptors"
clme0667,NGB21,Journal article,British Journal of Cancer,Guidelines for preclinical and early phase clinical assessment of novel radiosensitisers,"Harrington KJ, Billingham LJ, Brunner TB, Burnet NG, Chan CS, Hoskin P, Mackay RI, Maughan TS, Macdougall J, McKenna WG, Nutting CM, Oliver A, Plummer R, Stratford IJ, Illidge T","Algorithms, Clinical Trials as Topic, Drug Evaluation, Preclinical, Drugs, Investigational, Humans, Models, Biological, Neoplasms, Practice Guidelines as Topic, Radiation-Sensitizing Agents, assessment, novel radiosensitisers, early, preclinical, clinical, LOCALLY ADVANCED HEAD, SQUAMOUS-CELL CARCINOMA, CELLULARITY FOLLOWING IRRADIATION, INTENSITY-MODULATED RADIOTHERAPY, INTESTINAL CRYPT SURVIVAL, STRAND BREAK REPAIR, X-RAY EXPOSURES, NECK-CANCER, DNA-REPAIR, CONCOMITANT CHEMOTHERAPY"
raob0270,NGB21,Journal article,British Journal of Cancer,Guidelines for preclinical and early phase clinical assessment of novel radiosensitisers,"Harrington KJ, Billingham LJ, Brunner TB, Burnet NG, Chan CS, Hoskin P, Mackay RI, Maughan TS, Macdougall J, McKenna WG, Nutting CM, Oliver A, Plummer R, Stratford IJ, Illidge T","Algorithms, Clinical Trials as Topic, Drug Evaluation, Preclinical, Drugs, Investigational, Humans, Models, Biological, Neoplasms, Practice Guidelines as Topic, Radiation-Sensitizing Agents, assessment, novel radiosensitisers, early, preclinical, clinical, LOCALLY ADVANCED HEAD, SQUAMOUS-CELL CARCINOMA, CELLULARITY FOLLOWING IRRADIATION, INTENSITY-MODULATED RADIOTHERAPY, INTESTINAL CRYPT SURVIVAL, STRAND BREAK REPAIR, X-RAY EXPOSURES, NECK-CANCER, DNA-REPAIR, CONCOMITANT CHEMOTHERAPY"
