Collaborator1,Collaborator2,Type,Publication Name,Title,Co-authors,Keywords
card0018,bioc0192,Journal article,Magnetic Resonance in Medicine,Human cardiac 31P magnetic resonance spectroscopy at 7 tesla,"Rodgers CT, Clarke WT, Snyder C, Vaughan JT, Neubauer S, Robson MD",
immd0106,card0018,Conference paper,European Heart Journal,Infection with human immunodeficiency virus is an independent predictor of increased aortic stiffness,"Asaad M, Rider OJ, Ntusi N, Wainwright E, Pitcher A, Suttie J, Clarke K, Dorrell L, Neubauer S, Holloway C",
raob0097,clme0667,Journal article,British Journal of Cancer,Targeting radiation-resistant hypoxic tumour cells through ATR inhibition.,"Pires IM, Olcina MM, Anbalagan S, Pollard JR, Reaper PM, Charlton PA, McKenna WG, Hammond EM","Ataxia Telangiectasia, Ataxia Telangiectasia Mutated Proteins, Cell Cycle Proteins, Cell Hypoxia, Cell Line, Tumor, Cell Survival, DNA Damage, DNA Replication, HCT116 Cells, HeLa Cells, Histones, Humans, Hypoxia-Inducible Factor 1, alpha Subunit, Phosphorylation, Protein-Serine-Threonine Kinases, Pyrazines, Radiation Tolerance, Radiotherapy, Repressor Proteins, Signal Transduction, Sulfones"
clme0975,ndos0097,Journal article,British Journal of Radiology,High-intensity focused ultrasound treatment of liver tumours: post-treatment MRI correlates well with intra-operative estimates of treatment volume.,"Leslie T, Ritchie R, Illing R, Ter Haar G, Phillips R, Middleton M, Bch B, Wu F, Cranston D","Aged, 80 and over, Feasibility Studies, Female, High-Intensity Focused Ultrasound Ablation, Humans, Intraoperative Care, Liver Neoplasms, Magnetic Resonance Imaging, Male, Middle Aged, Postoperative Care, Prospective Studies, Treatment Outcome"
prhc0003,phpc0084,Journal article,European Journal of Heart Failure,"Development and initial validation of a simple clinical decision tool to predict the presence of heart failure in primary care: the MICE (Male, Infarction, Crepitations, Edema) rule.","Roalfe AK, Mant J, Doust JA, Barton P, Cowie MR, Glasziou P, Mant D, McManus RJ, Holder R, Deeks JJ, Doughty RN, Hoes AW, Fletcher K, Hobbs FD","Aged, 80 and over, Decision Support Techniques, Echocardiography, Edema, Female, Heart Failure, Humans, Logistic Models, Male, Middle Aged, Myocardial Infarction, Natriuretic Peptide, Brain, Primary Health Care, Prospective Studies, ROC Curve, Referral and Consultation, Respiratory Sounds, Sensitivity and Specificity, Sex Factors"
clme0497,clme1358,Journal article,Journal of Medicinal Chemistry,Discovery of a Chemical Tool Inhibitor Targeting the Bromodomains of TRIM24 and BRPF.,"Bennett J, Fedorov O, Tallant C, Monteiro O, Meier J, Gamble V, Savitsky P, Nunez-Alonso GA, Haendler B, Rogers C, Brennan PE, Müller S, Knapp S",
cschof,claridge,Journal article,Nature Communications,Non-enzymatic chemistry enables 2-hydroxyglutarate-mediated activation of 2-oxoglutarate oxygenases.,"Tarhonskaya H, Rydzik AM, Leung IK, Loik ND, Chan MC, Kawamura A, McCullagh JS, Claridge TD, Flashman E, Schofield CJ","Alcohol Oxidoreductases, Ascorbic Acid, Glutarates, Oxygenases, Succinic Acid, gamma-Aminobutyric Acid"
cschof,univ1923,Journal article,Nature Communications,Non-enzymatic chemistry enables 2-hydroxyglutarate-mediated activation of 2-oxoglutarate oxygenases.,"Tarhonskaya H, Rydzik AM, Leung IK, Loik ND, Chan MC, Kawamura A, McCullagh JS, Claridge TD, Flashman E, Schofield CJ","Alcohol Oxidoreductases, Ascorbic Acid, Glutarates, Oxygenases, Succinic Acid, gamma-Aminobutyric Acid"
cschof,wolf1833,Journal article,Nature Communications,Non-enzymatic chemistry enables 2-hydroxyglutarate-mediated activation of 2-oxoglutarate oxygenases.,"Tarhonskaya H, Rydzik AM, Leung IK, Loik ND, Chan MC, Kawamura A, McCullagh JS, Claridge TD, Flashman E, Schofield CJ","Alcohol Oxidoreductases, Ascorbic Acid, Glutarates, Oxygenases, Succinic Acid, gamma-Aminobutyric Acid"
claridge,univ1923,Journal article,Nature Communications,Non-enzymatic chemistry enables 2-hydroxyglutarate-mediated activation of 2-oxoglutarate oxygenases.,"Tarhonskaya H, Rydzik AM, Leung IK, Loik ND, Chan MC, Kawamura A, McCullagh JS, Claridge TD, Flashman E, Schofield CJ","Alcohol Oxidoreductases, Ascorbic Acid, Glutarates, Oxygenases, Succinic Acid, gamma-Aminobutyric Acid"
