ID,Name,Institution,Department
phpc0228,"WORDSWORTH, Sarah",Oxford,Nuffield Department of Population Health
orms0061,"FELDMANN, Marc",Oxford,NDORMS
bioc0128,"MELLOR, Elizabeth JC (Jane)",Oxford,Biochemistry
path0204,"NORBURY, Christopher J (Chris)",Oxford,Pathology Dunn School
JJB12,Jeremy Baumberg,Cambridge,Department of Physics
olin0081,"GYRD-HANSEN, Mads",Oxford,NDM
NS421,Nicholas Shannon,Cambridge,Department of Oncology
chem0372,"BURTON, Jonathan W",Oxford,Chemistry
MJM16,Matthew Murray,Cambridge,Department of Pathology
engs0357,"BRADY, John M (Michael)",Oxford,Oncology
JA219,Julie Ahringer,Cambridge,Department of Genetics
APJ10,Antony Jackson,Cambridge,Department of Biochemistry
SS861,Shamith Samarajiwa,Cambridge,MRC Cancer Unit
CW209,Colin Watts,Cambridge,Department of Clinical Neurosciences
immd0679,"FULGA, Tudor A",Oxford,RDM
raob0005,"TARSOUNAS, Madalena",Oxford,Oncology
raob0168,"JONES, Bleddyn",Oxford,Oncology
GCB3,Guy Brown,Cambridge,Department of Biochemistry
AD596,Alice Denton,Cambridge,Department of Medicine
WTK22,Walid Khaled,Cambridge,Department of Pharmacology
raob0009,"BARBER, Paul",Oxford,Oncology
olin0014,"GODING, Colin",Oxford,NDM
UFK20,Ulrich Keyser,Cambridge,Department of Physics
ctsu0084,"CHEN, Zheng-Ming (Zhengming)",Oxford,Nuffield Department of Population Health
clab0035,"BOULTWOOD, Jacqueline",Oxford,RDM
bioc0756,"HOWARTH, Mark R",Oxford,Biochemistry
immd0198,"SIMMONS, Alison",Oxford,NDM
CER51,Christopher Rudd,Cambridge,Department of Pathology
lina0435,"MCVEAN, Gilean AT (Gil)",Oxford,NDM
card0008,"BHATTACHARYA, Shoumo",Oxford,RDM
clme0301,"THAKKER, Rajesh V",Oxford,RDM
BB313,Bristi Basu,Cambridge,Department of Oncology
clph0059,"SEYMOUR, Leonard W",Oxford,Oncology
AJW1000,Alan Warren,Cambridge,Department of Haematology
xxxx0009,"PARTRIDGE, Michael (Mike)",Oxford,Oncology
gree1024,"ALI, Raghib",Oxford,Nuffield Department of Population Health
dpag0225,"GOODWIN, Stephen F",Oxford,Physiology Anatomy & Genetics
immd0654,"MILNE, Thomas (Tom)",Oxford,RDM
coml0332,"BYRNE, Helen M",Oxford,Mathematical Institute
clme1651,"BIRD-LIEBERMAN, Elizabeth L",Oxford,Oxford
CG348,Cedric Ghevaert,Cambridge,Department of Haematology
YYSH2,Yanyan Huang,Cambridge,Department of Engineering
clab0018,"GATTER, Kevin C",Oxford,RDM
ABJ26,Asta Jonsdottir,Cambridge,MRC Cancer Unit
SPJ13,Stephen Jackson,Cambridge,Department of Biochemistry
GJH46,Gregory Hannon,Cambridge,Department of Oncology
JP103,Jonathon Pines,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
AMD24,Alison Dunning,Cambridge,Department of Oncology
TDL2,Trevor Littlewood,Cambridge,Department of Biochemistry
raob0233,"RYAN, Anderson J",Oxford,Oncology
AGL22,Andrew Lynch,Cambridge,Cancer Research UK Cambridge Institute
raob0231,"MUKHERJEE, Somnath",Oxford,Oncology
HL316,Heike Laman,Cambridge,Department of Pathology
LV225,Ludovic Vallier,Cambridge,Department of Surgery
JHFR2,James Rudd,Cambridge,Department of Medicine
PPD21,Pier D'Avino,Cambridge,Department of Pathology
SR504,Suzanne Randle,Cambridge,Department of Pathology
NC109,Nicholas Coleman,Cambridge,Department of Pathology
EW442,Edward Wilson,Cambridge,Institute of Public Health
whgu0385,"GRUNEWALD, Kay",Oxford,NDM
wolf1917,"MCHUGH, Peter",Oxford,Oncology
SP580,Sara Pensa,Cambridge,Department of Pharmacology
MA630,Margaret Ashcroft,Cambridge,Department of Medicine
FJL1,Finian Leeper,Cambridge,Department of Chemistry
bioc0673,"VAKONAKIS, Ioannis (John)",Oxford,Biochemistry
DFE20,Douglas Easton,Cambridge,Department of Public Health and Primary Care
RMM32,Rebecca Myers,Cambridge,Department of Chemistry
stat0004,"DONNELLY, Peter J",Oxford,Statistics
jau20,Juliet Usher-Smith,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
SC10021,Suet Chin,Cambridge,Cancer Research UK Cambridge Institute
raob0122,"HUMPHREY, Timothy",Oxford,Oncology
raob0121,"DIANOV, Grigory",Oxford,Oncology
DJH210,David Huggins,Cambridge,Department of Physics
clar0089,"LEAKE, Mark C",Oxford,Biochemistry
clme0501,"TURNEY, Benjamin W (Ben)",Oxford,Surgical Sciences
PHJ20,Philip Jones,Cambridge,MRC Cancer Unit
clme0135,"PEZZELLA, Francesco",Oxford,RDM
MAS1001,Margaret Stanley,Cambridge,Department of Pathology
EPM27,Elizabeth Murchison,Cambridge,Department of Veterinary Medicine
12055,James Nathan,Cambridge,C.I.M.R. Medicine
BG200,Berthold Gottgens,Cambridge,Department of Haematology
RSJ33,Randall Johnson,Cambridge,"Department of Physiology, Development and Neuroscience"
TL347,Timothy Larkin,Cambridge,Division of Neurosurgery
path0473,"ACUTO, Oreste",Oxford,Pathology Dunn School
immd0316,"BUFFA, Francesca",Oxford,Oncology
EDL1,Ernest Laue,Cambridge,Department of Biochemistry
RALP2,Roger Pedersen,Cambridge,Department of Surgery
TJ212,Tobias Janowitz,Cambridge,Department of Oncology
raob0051,"VOJNOVIC, Borivoj (Boris)",Oxford,Oncology
clme0439,"SIEBOLD, Christian",Oxford,NDM
anat0115,"WILSON, Clive",Oxford,Physiology Anatomy & Genetics
anat0116,"GOBERDHAN, Deborah",Oxford,Physiology Anatomy & Genetics
orie1154,"FAIRCHILD, Paul J",Oxford,Pathology Dunn School
bioc0212,"TYLER, Damian J",Oxford,Physiology Anatomy & Genetics
PAK29,Peter Kreuzaler,Cambridge,Department of Biochemistry
clme0220,"HARRIS, Adrian",Oxford,Oncology
whgu0378,"TOMLINSON, Ian",Oxford,NDM
magd1571,"DONOHOE, Timothy J",Oxford,Chemistry
whgu0274,"POLLARD, Patrick J",Oxford,NDM
bioc0764,"NOVAK, Bela",Oxford,Biochemistry
JG473,Jochen Guck,Cambridge,Department of Physics
JG477,John Griffiths,Cambridge,Cancer Research UK Cambridge Institute
math0111,"MAINI, Philip K",Oxford,Mathematical Institute
FAG1000,Ferdia Gallagher,Cambridge,Department of Radiology
ctsu0265,"CUTTER, David J",Oxford,Nuffield Department of Population Health
EP370,Eugenia Piddini,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
NGB21,Neil Burnet,Cambridge,Department of Oncology
phys0125,"GLITSCH, Maike D",Oxford,Physiology Anatomy & Genetics
RDB39,Richard Baird,Cambridge,Department of Oncology
MMO25,Myriam Ouberai,Cambridge,Department of Engineering
NR343,Nitzan Rosenfeld,Cambridge,Cancer Research UK Cambridge Institute
raob0270,"MAUGHAN, Timothy S (Tim)",Oxford,Oncology
dpag0074,"LIU, Ji-Long",Oxford,Physiology Anatomy & Genetics
ndos0097,"CRANSTON, David W",Oxford,Surgical Sciences
MAP1001,Michael Parker,Cambridge,Department of Physics
SR679,Steffen Rulands,Cambridge,
DTF1000,Douglas Fearon,Cambridge,Cancer Research UK Cambridge Institute
DGK23,David Kent,Cambridge,Department of Haematology
MEW10,Mark Welland,Cambridge,Department of Engineering
AG229,Anna Git,Cambridge,Department of Biochemistry
ocms0064,"GILBERT, Robert JC",Oxford,NDM
TK218,Torsten Krude,Cambridge,Department of Zoology
gree1192,"KEY, Timothy J",Oxford,Nuffield Department of Population Health
SP577,Sara Piccirillo,Cambridge,John van Geest Centre for Brain Repair
clne0009,"ROTHWELL, Peter M",Oxford,Clinical Neurosciences
PHM29,Patrick Maxwell,Cambridge,Department of Medicine
KC370,Kevin Chalut,Cambridge,Department of Physics
PC245,Pietro Cicuta,Cambridge,Department of Physics
FMW22,Fiona Walter,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
CJW53,Christine Watson,Cambridge,Department of Pathology
jf416,Jasmin Fisher,Cambridge,Department of Biochemistry
AHG13,Andrew Gee,Cambridge,Department of Engineering
radi0003,"GLEESON, Fergus V",Oxford,Oncology
JC553,Jason Carroll,Cambridge,Cancer Research UK Cambridge Institute
chem0489,"CONWAY, Stuart J",Oxford,Chemistry
SK10023,Sylvia Kocialkowski,Cambridge,Department of Pathology
GMT11,Graham Treece,Cambridge,Department of Engineering
TM418,Tomasz Matys,Cambridge,Department of Radiology
immd0218,"KOLLNBERGER, Simon D",Oxford,Surgical Sciences
RNS13,Richard Sandford,Cambridge,Department of Medical Genetics
mjawood,"WOOD, Matthew J",Oxford,Physiology Anatomy & Genetics
NJW1004,Nicholas Wareham,Cambridge,Office of the School of Clinical Medicine
clme0494,"GILEADI, Opher",Oxford,NDM
clme0497,"KNAPP, Stefan",Oxford,NDM
clme0993,"BOND, Gareth",Oxford,NDM
TK106,Tony Kouzarides,Cambridge,Department of Pathology
clme0149,"KLENERMAN, Paul",Oxford,NDM
DO261,Duncan Odom,Cambridge,Cancer Research UK Cambridge Institute
clab0127,"LA THANGUE, Nicholas B (Nick)",Oxford,Oncology
donc0228,"VAN DEN HEUVEL, Frank",Oxford,Oncology
APD10,Anthony Davenport,Cambridge,Department of Medicine
QG209,Qi Guo,Cambridge,Department of Oncology
FIA20,Franklin Aigbirhio,Cambridge,Department of Clinical Neurosciences
molb0002,"VAN DER MERWE, Philip A (Anton)",Oxford,Pathology Dunn School
molb0003,"KENNEDY, Stephen H",Oxford,Obstetrics & Gynaecology
immd0282,"PATIENT, Roger K",Oxford,RDM
card0018,"NEUBAUER, Stefan",Oxford,RDM
NMS39,Nicole Sodir,Cambridge,Department of Biochemistry
quee1607,"YAU, Christopher",Oxford,NDM
PJB91,Peter Bond,Cambridge,Department of Chemistry
bioc0365,"WOOLLARD, Alison CS",Oxford,Biochemistry
TGQE2,Timothy Eisen,Cambridge,Department of Oncology
SA263,Shubha Anand,Cambridge,C.I.M.R. Haematology
donc0120,"HAWKINS, Maria A",Oxford,Oncology
univ1923,"MCCULLAGH, James",Oxford,Chemistry
KBM1000,Kerstin Meyer,Cambridge,Department of Oncology
immd0031,"LI, Demin",Oxford,RDM
immd0036,"WILKIE, Andrew OM",Oxford,RDM
FVG20,Fanni Gergely,Cambridge,Cancer Research UK Cambridge Institute
path0642,"DUSHEK, Omer",Oxford,Pathology Dunn School
clme1037,"BOUNTRA, Charanjit (Chas)",Oxford,NDM
path0089,"POWRIE, Fiona M",Oxford,NDORMS
DS139,Robert St Johnston,Cambridge,Department of Genetics
immd0423,"HASSAN, Andrew B (Bass)",Oxford,Pathology Dunn School
immd0421,"CHURCH, David N",Oxford,NDM
KK101,Kay-Tee Khaw,Cambridge,Department of Public Health and Primary Care
dpag0048,"SZELE, Francis G",Oxford,Physiology Anatomy & Genetics
AJK61,Alexandre Kabla,Cambridge,Department of Engineering
EAM29,Eric Miska,Cambridge,Department of Genetics
ndos0723,"SOORIAKUMARAN, Prasanna S",Oxford,Surgical Sciences
gsv20,George Vassiliou,Cambridge,Department of Haematology
gree1499,"CROWE, Francesca L",Oxford,Nuffield Department of Population Health
clme0975,"MIDDLETON, Mark R",Oxford,Oncology
AM2185,Athena Matakidou,Cambridge,Cancer Research UK Cambridge Institute
acl34,Ann Lindon,Cambridge,Department of Genetics
raob0096,"O'NEILL, Eric",Oxford,Oncology
AS889,Ana Cvejic,Cambridge,Department of Haematology
immd0499,"NIEDZWIEDZ, Wojciech",Oxford,Oncology
immd0556,"MEAD, Adam J",Oxford,RDM
YK299,Yuu Kimata,Cambridge,Department of Genetics
AL499,Alastair Lamb,Cambridge,Department of Surgery
ocms0037,"PONTING, Christopher (Chris)",Oxford,Physiology Anatomy & Genetics
