ID,Name,Institution,Department
phpc0228,"WORDSWORTH, Sarah",Oxford,Nuffield Department of Population Health
bioc0208,"ZITZMANN, Nicole",Oxford,Biochemistry
orms0061,"FELDMANN, Marc",Oxford,NDORMS
immd0680,"SAUKA-SPENGLER, Tatjana",Oxford,RDM
clme0670,"MUSCHEL, Ruth J",Oxford,Oncology
bioc0128,"MELLOR, Elizabeth JC (Jane)",Oxford,Biochemistry
path0204,"NORBURY, Christopher J (Chris)",Oxford,Pathology Dunn School
path0084,"UHLIG, Hans H (Holm)",Oxford,NDM
clme0195,"HIGGS, Douglas R",Oxford,RDM
claridge,"CLARIDGE, Timothy DW (Tim)",Oxford,Chemistry
kenn0163,"DUSTIN, Michael L (Mike)",Oxford,NDORMS
clme0193,"JACKSON, David G",Oxford,RDM
raob0270,"MAUGHAN, Timothy S (Tim)",Oxford,Oncology
bioc0804,"BROCKDORFF, Neil",Oxford,Biochemistry
bioc0801,"KLOSE, Robert J (Rob)",Oxford,Biochemistry
path0511,"JACOBSEN, Sten",Oxford,RDM
darby,"DARBY, Sarah C",Oxford,Nuffield Department of Population Health
ndog0115,"MORTEN, Karl",Oxford,Obstetrics & Gynaecology
immd0075,"HUGHES, James R",Oxford,RDM
raob0072,"SHARMA, Ricky A",Oxford,Oncology
ndos0097,"CRANSTON, David W",Oxford,Surgical Sciences
card0025,"CHANNON, Keith M",Oxford,RDM
card0027,"WATKINS, Hugh C",Oxford,RDM
immd0180,"MACAULAY, Valentine",Oxford,Oncology
path0002,"VAUX, David JT",Oxford,Pathology Dunn School
bioc0987,"NEWSTEAD, Simon L",Oxford,Biochemistry
engs0357,"BRADY, John M (Michael)",Oxford,Oncology
path0041,"HANDFORD, Penelope A (Penny)",Oxford,Biochemistry
prhc0057,"NICHOLSON, Brian",Oxford,Primary Care Health Sciences
clab0247,"RABBITTS, Terence H (Terry)",Oxford,RDM
clne0083,"ANSORGE, Olaf",Oxford,Clinical Neurosciences
gree0184,"PETO, Richard",Oxford,Nuffield Department of Population Health
clme0169,"ALTMAN, Douglas G",Oxford,NDORMS
whgu0210,"MANCINI, Erika J",Oxford,NDM
ocms0064,"GILBERT, Robert JC",Oxford,NDM
math0111,"MAINI, Philip K",Oxford,Mathematical Institute
gree1192,"KEY, Timothy J",Oxford,Nuffield Department of Population Health
clab0025,"BANHAM, Alison H",Oxford,RDM
clme0832,"COLLINS, Gary S",Oxford,NDORMS
whgu0256,"MOLE, David R",Oxford,NDM
clne0009,"ROTHWELL, Peter M",Oxford,Clinical Neurosciences
raob0005,"TARSOUNAS, Madalena",Oxford,Oncology
raob0168,"JONES, Bleddyn",Oxford,Oncology
card0039,"CHOUDHURY, Robin",Oxford,RDM
immd0100,"DONG, Tao",Oxford,RDM
raob0009,"BARBER, Paul",Oxford,Oncology
immd0106,"DORRELL, Lucy",Oxford,NDM
olin0014,"GODING, Colin",Oxford,NDM
phys0101,"VAUGHAN-JONES, Richard D",Oxford,Physiology Anatomy & Genetics
radi0003,"GLEESON, Fergus V",Oxford,Oncology
newc0612,"RUSSELL, Angela J",Oxford,Pharmacology
cschof,"SCHOFIELD, Christopher J (Chris)",Oxford,Chemistry
ctsu0084,"CHEN, Zheng-Ming (Zhengming)",Oxford,Nuffield Department of Population Health
path0636,"RAFF, Jordan",Oxford,Pathology Dunn School
ndos0532,"BRYANT, Richard J",Oxford,Surgical Sciences
stat0059,"BOWDEN, Rory J",Oxford,NDM
raob0097,"HAMMOND, Ester M",Oxford,Oncology
raob0096,"O'NEILL, Eric",Oxford,Oncology
raob0095,"CORNELISSEN, Bart",Oxford,Oncology
clme0667,"MCKENNA, William G (Gillies)",Oxford,Oncology
wolf1833,"FLASHMAN, Emily G",Oxford,Chemistry
ctsu0165,"BAIGENT, Colin N",Oxford,Nuffield Department of Population Health
clne0013,"SMITH, Stephen",Oxford,Clinical Neurosciences
immd0452,"ESASHI, Fumiko",Oxford,Pathology Dunn School
bras2068,"WARREN, Daniel R",Oxford,Oncology
gree1620,"HIGGINS, Geoffrey",Oxford,Oncology
immd0198,"SIMMONS, Alison",Oxford,NDM
bioc0673,"VAKONAKIS, Ioannis (John)",Oxford,Biochemistry
immd0700,"NERLOV, Claus",Oxford,RDM
dpag0074,"LIU, Ji-Long",Oxford,Physiology Anatomy & Genetics
lina0435,"MCVEAN, Gilean AT (Gil)",Oxford,NDM
ndog0251,"AHMED, Ahmed A",Oxford,Obstetrics & Gynaecology
card0008,"BHATTACHARYA, Shoumo",Oxford,RDM
clme0219,"OGG, Graham",Oxford,RDM
univ1102,"CHAPPELL, Michael A",Oxford,Engineering Science
raob0233,"RYAN, Anderson J",Oxford,Oncology
trin1371,"MAHADEVAN, Louis D",Oxford,Biochemistry
mjawood,"WOOD, Matthew J",Oxford,Physiology Anatomy & Genetics
clme0494,"GILEADI, Opher",Oxford,NDM
gree1499,"CROWE, Francesca L",Oxford,Nuffield Department of Population Health
wadh1179,"VOETS, Natalie",Oxford,Clinical Neurosciences
clme0497,"KNAPP, Stefan",Oxford,NDM
clme0993,"BOND, Gareth",Oxford,NDM
clph0059,"SEYMOUR, Leonard W",Oxford,Oncology
immd0330,"SCHUH, Annette H (Anna)",Oxford,Oncology
clme0149,"KLENERMAN, Paul",Oxford,NDM
xxxx0009,"PARTRIDGE, Michael (Mike)",Oxford,Oncology
clab0127,"LA THANGUE, Nicholas B (Nick)",Oxford,Oncology
clme0301,"THAKKER, Rajesh V",Oxford,RDM
gree1024,"ALI, Raghib",Oxford,Nuffield Department of Population Health
dpag0225,"GOODWIN, Stephen F",Oxford,Physiology Anatomy & Genetics
donc0228,"VAN DEN HEUVEL, Frank",Oxford,Oncology
immd0654,"MILNE, Thomas (Tom)",Oxford,RDM
coml0332,"BYRNE, Helen M",Oxford,Mathematical Institute
whgu0527,"CHAPMAN, J Ross",Oxford,NDM
molb0002,"VAN DER MERWE, Philip A (Anton)",Oxford,Pathology Dunn School
molb0003,"KENNEDY, Stephen H",Oxford,Obstetrics & Gynaecology
immd0282,"PATIENT, Roger K",Oxford,RDM
smlea,"LEA, Susan M",Oxford,Pathology Dunn School
card0018,"NEUBAUER, Stefan",Oxford,RDM
ctsu0265,"CUTTER, David J",Oxford,Nuffield Department of Population Health
zool0768,"MAGIORKINIS, Gkikas",Oxford,Zoology
quee1607,"YAU, Christopher",Oxford,NDM
clab0018,"GATTER, Kevin C",Oxford,RDM
bioc0365,"WOOLLARD, Alison CS",Oxford,Biochemistry
ndos0159,"TRIFFITT, James T",Oxford,NDORMS
clme0485,"OPPERMANN, Udo CT",Oxford,NDORMS
clab0058,"MURPHY, Michael F",Oxford,Surgical Sciences
clme0845,"GREEN, Jane M",Oxford,Nuffield Department of Population Health
bioc0647,"NASMYTH, Kim A",Oxford,Biochemistry
immd0237,"RATCLIFFE, Peter J",Oxford,NDM
raob0231,"MUKHERJEE, Somnath",Oxford,Oncology
bioc0756,"HOWARTH, Mark R",Oxford,Biochemistry
donc0120,"HAWKINS, Maria A",Oxford,Oncology
engs0475,"COUSSIOS, Constantin C",Oxford,Engineering Science
clar0295,"PEACH, Kenneth J (Ken)",Oxford,Physics
immd0031,"LI, Demin",Oxford,RDM
whgu0142,"BULLOCK, Alexander N (Alex)",Oxford,NDM
whgu0385,"GRUNEWALD, Kay",Oxford,NDM
immd0036,"WILKIE, Andrew OM",Oxford,RDM
wolf1917,"MCHUGH, Peter",Oxford,Oncology
ndos0461,"HAMDY, Freddie C",Oxford,Surgical Sciences
clme0240,"PUGH, Christopher W (Chris)",Oxford,NDM
magd1571,"DONOHOE, Timothy J",Oxford,Chemistry
vacc0036,"KRIAUCIONIS, Skirmantas K",Oxford,NDM
univ1923,"MCCULLAGH, James",Oxford,Chemistry
clme0731,"BEVERLEY, Peter C",Oxford,NDM
path0642,"DUSHEK, Omer",Oxford,Pathology Dunn School
clme1037,"BOUNTRA, Charanjit (Chas)",Oxford,NDM
path0089,"POWRIE, Fiona M",Oxford,NDORMS
clme1136,"CHRISTIANSON, John C",Oxford,NDM
clab0101,"PELLAGATTI, Andrea",Oxford,RDM
whgu0139,"COLEMAN, Mathew (Matthew)",Oxford,NDM
immd0423,"HASSAN, Andrew B (Bass)",Oxford,Pathology Dunn School
bioc0541,"ANTHONY, Daniel CC",Oxford,Pharmacology
immd0421,"CHURCH, David N",Oxford,NDM
engs0270,"TARASSENKO, Lionel",Oxford,Engineering Science
dpag0048,"SZELE, Francis G",Oxford,Physiology Anatomy & Genetics
chri0963,"SWIETACH, Pawel",Oxford,Physiology Anatomy & Genetics
immd0679,"FULGA, Tudor A",Oxford,RDM
stat0004,"DONNELLY, Peter J",Oxford,Statistics
chem0489,"CONWAY, Stuart J",Oxford,Chemistry
raob0122,"HUMPHREY, Timothy",Oxford,Oncology
raob0121,"DIANOV, Grigory",Oxford,Oncology
immd0023,"CERUNDOLO, Vincenzo",Oxford,RDM
clme0975,"MIDDLETON, Mark R",Oxford,Oncology
immd0024,"VYAS, Paresh",Oxford,RDM
bioc0268,"BUTTERS, Terry",Oxford,Biochemistry
bioc0188,"LAKIN, Nicholas D",Oxford,Biochemistry
clme0501,"TURNEY, Benjamin W (Ben)",Oxford,Surgical Sciences
ctsu0385,"GNATIUC, Louisa",Oxford,Nuffield Department of Population Health
clne0024,"JEZZARD, Peter",Oxford,Clinical Neurosciences
clme0135,"PEZZELLA, Francesco",Oxford,RDM
phpc0084,"MANT, David",Oxford,Primary Care Health Sciences
whgu0085,"RAGOUSSIS, Ioannis",Oxford,NDM
univ0247,"PEARS, Catherine J",Oxford,Biochemistry
prhc0003,"HOBBS, Frederick DR (Richard)",Oxford,Primary Care Health Sciences
