Source,Target,Weight,Publication Type,Publication Name,Title,Co-authors,Keywords
SJG49,NJW1004,0.2,Journal article,The British Journal of Nutrition: an international journal of nutritional science,Does the importance of dietary costs for fruit and vegetable intake vary by socioeconomic position?,"Mackenbach JD, Brage S, Forouhi NG, Griffin SJ, Wareham NJ, Monsivais P",[]
SJG49,NJW1004,0.25,Journal article,The British Journal of Nutrition: an international journal of nutritional science,"The cross-sectional association between snacking behaviour and measures of adiposity: The Fenland Study, UK","O'Connor L, Brage S, Griffin SJ, Wareham NJ, Forouhi NG",[]
HRM28,DO202,0.25,Journal article,Biomolecular NMR Assignments,"1H, 13C and 15N resonance assignments of the GTPase-activating (GAP) and Ral binding domains (GBD) of RLIP76 (RalBP1)","Rajasekar KV, Campbell LJ, Nietlispach D, Owen D, Mott HR",[]
KMB1001,FJL1,0.25,Journal article,Organic and Biomolecular Chemistry,Exploring isonitrile-based click chemistry for ligation with biomolecules,"Stockmann H, Neves AA, Stairs S, Brindle KM, Leeper FJ","[u'ISOCYANIDES', u'DERIVATIVES', u'REACTIVITY', u'SUPPORTS', u'BINDING', u'IONEN', u'WATER']"
KK101,NJW1004,0.111111111111,Journal article,International Journal of Molecular Epidemiology and Genetics,"Prospective study of insulin-like growth factor-I, insulinlike growth factor-binding protein 3, genetic variants in the IGF1 and IGFBP3 genes and risk of coronary artery disease","Ricketts SL, Rensing KL, Holly JM, Chen L, Young EH, Luben R, Ashford S, Song K, Yuan X, Dehghan A",[]
RNS13,NJW1004,0.111111111111,Journal article,Hepatology,The UK-PBC risk scores: Derivation and validation of a scoring system for long-term prediction of end-stage liver disease in primary biliary cirrhosis,"Carbone M, Sharp SJ, Flack S, Paximadas D, Spiess K, Adgey C, Griffiths L, Lim R, Trembling P, Williamson K",[]
AMD24,ACA20,0.111111111111,Journal article,Nature Communications,Rare coding variants and X-linked loci associated with age at menarche,"Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C",[]
AMD24,DFE20,0.111111111111,Journal article,Nature Communications,Rare coding variants and X-linked loci associated with age at menarche,"Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C",[]
AMD24,NJW1004,0.111111111111,Journal article,Nature Communications,Rare coding variants and X-linked loci associated with age at menarche,"Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C",[]
ACA20,DFE20,0.111111111111,Journal article,Nature Communications,Rare coding variants and X-linked loci associated with age at menarche,"Lunetta KL, Day FR, Sulem P, Ruth KS, Tung JY, Hinds DA, Esko T, Elks CE, Altmaier E, He C",[]
