ID,Name,Institution,Department
CG348,Cedric Ghevaert,Cambridge,Department of Haematology
EP370,Eugenia Piddini,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
GL290,Georgios Lyratzopoulos,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
CS681,Christine Schmidt,Cambridge,Wellcome Trust/Cancer Research UK Gurdon Institute
ARG1000,Anthony Green,Cambridge,Department of Haematology
BJPH2,Brian Huntly,Cambridge,Department of Haematology
CA26,Christopher Abell,Cambridge,Department of Chemistry
RDB39,Richard Baird,Cambridge,Department of Oncology
DIJ21,Duncan Jodrell,Cambridge,Department of Oncology
AAS41,Ashwin Seshia,Cambridge,Department of Engineering
JJB12,Jeremy Baumberg,Cambridge,Department of Physics
NR343,Nitzan Rosenfeld,Cambridge,Cancer Research UK Cambridge Institute
MPFS1,Michael Sutcliffe,Cambridge,Department of Engineering
ERC24,Edwin Chilvers,Cambridge,Department of Medicine
HL316,Heike Laman,Cambridge,Department of Pathology
SSL30,Siong-Seng Liau,Cambridge,Department of Surgery
IRB21,Ian Baxendale,Cambridge,Department of Chemistry
DFE20,Douglas Easton,Cambridge,Department of Public Health and Primary Care
PAWE1,Paul Edwards,Cambridge,Department of Pathology
GM290,Gillian Murphy,Cambridge,Department of Oncology
MN332,Masashi Narita,Cambridge,Cancer Research UK Cambridge Institute
SJP58,Stephen Price,Cambridge,Division of Neurosurgery
FJL1,Finian Leeper,Cambridge,Department of Chemistry
MAP1001,Michael Parker,Cambridge,Department of Physics
MJM16,Matthew Murray,Cambridge,Department of Pathology
AB454,Andreas Bender,Cambridge,Department of Chemistry
KSL23,Kathryn Lilley,Cambridge,Department of Biochemistry
JA344,Jean Abraham,Cambridge,
SJG49,Simon Griffin,Cambridge,Department of Public Health and Primary Care
JA219,Julie Ahringer,Cambridge,Department of Genetics
MAG62,Mae Goldgraben,Cambridge,Department of Medical Genetics
PJL30,Paul Lehner,Cambridge,Department of Medicine
MLO29,Michelle Oyen,Cambridge,Department of Engineering
APJ10,Antony Jackson,Cambridge,Department of Biochemistry
DTF1000,Douglas Fearon,Cambridge,Cancer Research UK Cambridge Institute
KK429,Kristina Kirschner,Cambridge,Department of Haematology
DGK23,David Kent,Cambridge,Department of Haematology
MEW10,Mark Welland,Cambridge,Department of Engineering
PAL34,Paul Lyons,Cambridge,C.I.M.R. Medicine
SS861,Shamith Samarajiwa,Cambridge,MRC Cancer Unit
AG229,Anna Git,Cambridge,Department of Biochemistry
FR269,Frances Richards,Cambridge,Cancer Research UK Cambridge Institute
TK218,Torsten Krude,Cambridge,Department of Zoology
MF364,Michaela Frye,Cambridge,Department of Genetics
CW209,Colin Watts,Cambridge,Department of Clinical Neurosciences
SP577,Sara Piccirillo,Cambridge,John van Geest Centre for Brain Repair
JIS30,Jonathan Sive,Cambridge,Cambridge Stem Cell Initiative (CSCI)
MPA28,Maria Alcolea,Cambridge,MRC Cancer Unit
PHM29,Patrick Maxwell,Cambridge,Department of Medicine
RK385,Ragnhildur Karadottir,Cambridge,Department of Veterinary Medicine
KC370,Kevin Chalut,Cambridge,Department of Physics
PHJ20,Philip Jones,Cambridge,MRC Cancer Unit
TM418,Tomasz Matys,Cambridge,Department of Radiology
MMO25,Myriam Ouberai,Cambridge,Department of Engineering
gm263,Gos Micklem,Cambridge,Department of Genetics
CF366,Christian Frezza,Cambridge,MRC Cancer Unit
AD596,Alice Denton,Cambridge,Department of Medicine
AA461,Seyed Amin Al Olama,Cambridge,Department of Public Health and Primary Care
IJG25,Ian Groves,Cambridge,Department of Pathology
CJW53,Christine Watson,Cambridge,Department of Pathology
jf416,Jasmin Fisher,Cambridge,Department of Biochemistry
AHG13,Andrew Gee,Cambridge,Department of Engineering
UFK20,Ulrich Keyser,Cambridge,Department of Physics
AP113,Anna Philpott,Cambridge,Department of Oncology
JC553,Jason Carroll,Cambridge,Cancer Research UK Cambridge Institute
KH387,Katherine Hughes,Cambridge,Department of Veterinary Medicine
PL219,Pietro Lio,Cambridge,Computer Laboratory
SCP46,Simon Pacey,Cambridge,Department of Oncology
SK10023,Sylvia Kocialkowski,Cambridge,Department of Pathology
GMT11,Graham Treece,Cambridge,Department of Engineering
DK10012,David Klenerman,Cambridge,Department of Chemistry
TO237,Takashi Ochi,Cambridge,Department of Biochemistry
ACA20,Antonis Antoniou,Cambridge,Department of Public Health and Primary Care
PP10001,Paul Pharoah,Cambridge,Department of Public Health and Primary Care
CER51,Christopher Rudd,Cambridge,Department of Pathology
FMW22,Fiona Walter,Cambridge,"Department of Public Health and Primary Care, The Primary Care Unit"
EPM27,Elizabeth Murchison,Cambridge,Department of Veterinary Medicine
RNS13,Richard Sandford,Cambridge,Department of Medical Genetics
acl34,Ann Lindon,Cambridge,Department of Genetics
BDS10,Benjamin Simons,Cambridge,Department of Physics
MPS48,Michael Simmons,Cambridge,Department of Physics
fjg28,Fiona Gilbert,Cambridge,Department of Radiology
DSCJ1,David Charnock-Jones,Cambridge,Department of Obstetrics and Gynaecology
NJW1004,Nicholas Wareham,Cambridge,Office of the School of Clinical Medicine
BB313,Bristi Basu,Cambridge,Department of Oncology
TK106,Tony Kouzarides,Cambridge,Department of Pathology
PC245,Pietro Cicuta,Cambridge,Department of Physics
AJW1000,Alan Warren,Cambridge,Department of Haematology
DO261,Duncan Odom,Cambridge,Cancer Research UK Cambridge Institute
HME22,Helena Earl,Cambridge,Department of Oncology
REG53,Raymond Goldstein,Cambridge,Department of Applied Mathematics and Theoretical Physics
KDH29,Karen Howarth,Cambridge,Department of Pathology
LSI10,Laura Itzhaki,Cambridge,Department of Pharmacology
APD10,Anthony Davenport,Cambridge,Department of Medicine
PAK29,Peter Kreuzaler,Cambridge,Department of Biochemistry
