ID,Name,Institution,Department
bioc0416,"SIBSON, Nicola R",Oxford,OIRO
bras2068,"WARREN, Daniel R",Oxford,OIRO
clab0247,"RABBITTS, Terence H (Terry)",Oxford,WIMM
clar0270,"KAPANIDIS, Achillefs",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
clar0295,"PEACH, Kenneth J (Ken)",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
clme0193,"JACKSON, David G",Oxford,WIMM
clme0195,"HIGGS, Douglas R",Oxford,WIMM
clme0219,"OGG, Graham",Oxford,WIMM
clme0237,"TAYLOR, Jenny C",Oxford,WTCHG
clme0621,"BUCHAN, Alastair M",Oxford,NDM
clme0667,"MCKENNA, William G (Gillies)",Oxford,OIRO
clme0670,"MUSCHEL, Ruth J",Oxford,OIRO
clme0946,"LU, Xin",Oxford,Ludwig
clme0993,"BOND, Gareth",Oxford,Ludwig
clme1544,"EGGELING, Christian (Eggeling)",Oxford,WIMM
coml0332,"BYRNE, Helen M",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
donc0120,"HAWKINS, Maria A",Oxford,OIRO
donc0228,"VAN DEN HEUVEL, Frank",Oxford,OIRO
engs0270,"TARASSENKO, Lionel",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
engs0357,"BRADY, John M (Michael)",Oxford,OIRO
engs0475,"COUSSIOS, Constantin C",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
gree1620,"HIGGINS, Geoffrey",Oxford,OIRO
immd0023,"CERUNDOLO, Vincenzo",Oxford,WIMM
immd0024,"VYAS, Paresh",Oxford,WIMM
immd0031,"LI, Demin",Oxford,WIMM
immd0036,"WILKIE, Andrew OM",Oxford,WIMM
immd0075,"HUGHES, James R",Oxford,WIMM
immd0082,"BUCKLE, Veronica",Oxford,WIMM
immd0084,"SIMON, Anna K (Katja)",Oxford,Kennedy
immd0100,"DONG, Tao",Oxford,WIMM
immd0106,"DORRELL, Lucy",Oxford,WIMM
immd0151,"KNIGHT, Samantha J (Sam)",Oxford,WTCHG
immd0198,"SIMMONS, Alison",Oxford,WIMM
immd0282,"PATIENT, Roger K",Oxford,WIMM
immd0316,"BUFFA, Francesca",Oxford,OIRO
immd0421,"CHURCH, David N",Oxford,WTCHG
immd0556,"MEAD, Adam J",Oxford,WIMM
immd0654,"MILNE, Thomas (Tom)",Oxford,WIMM
immd0679,"FULGA, Tudor A",Oxford,WIMM
immd0680,"SAUKA-SPENGLER, Tatjana",Oxford,WIMM
immd0700,"NERLOV, Claus",Oxford,WIMM
kenn0163,"DUSTIN, Michael L (Mike)",Oxford,Kennedy
math0111,"MAINI, Philip K",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
olin0014,"GODING, Colin",Oxford,Ludwig
olin0081,"GYRD-HANSEN, Mads",Oxford,Ludwig
orms0061,"FELDMANN, Marc",Oxford,Kennedy
oums0386,"WATT, Andrew AR",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
path0089,"POWRIE, Fiona M",Oxford,Kennedy
path0511,"JACOBSEN, Sten",Oxford,WIMM
quee1607,"YAU, Christopher",Oxford,WTCHG
raob0005,"TARSOUNAS, Madalena",Oxford,OIRO
raob0009,"BARBER, Paul",Oxford,OIRO
raob0051,"VOJNOVIC, Borivoj (Boris)",Oxford,OIRO
raob0069,"VALLIS, Katherine A",Oxford,OIRO
raob0072,"SHARMA, Ricky A",Oxford,OIRO
raob0095,"CORNELISSEN, Bart",Oxford,OIRO
raob0096,"O'NEILL, Eric",Oxford,OIRO
raob0097,"HAMMOND, Ester M",Oxford,OIRO
raob0121,"DIANOV, Grigory",Oxford,OIRO
raob0122,"HUMPHREY, Timothy",Oxford,OIRO
raob0168,"JONES, Bleddyn",Oxford,OIRO
raob0189,"KILTIE, Anne E",Oxford,OIRO
raob0231,"MUKHERJEE, Somnath",Oxford,OIRO
raob0233,"RYAN, Anderson J",Oxford,OIRO
raob0270,"MAUGHAN, Timothy S (Tim)",Oxford,OIRO
stat0004,"DONNELLY, Peter J",Oxford,WTCHG
stat0054,"HOLMES, Christopher C (Chris)",Oxford,WTCHG
stat0059,"BOWDEN, Rory J",Oxford,WTCHG
univ1102,"CHAPPELL, Michael A",Oxford,"Maths, Materials, Physics, Computer Sciences, Engineering"
vacc0036,"KRIAUCIONIS, Skirmantas K",Oxford,Ludwig
whgu0274,"POLLARD, Patrick J",Oxford,WTCHG
whgu0378,"TOMLINSON, Ian",Oxford,WTCHG
whgu0408,"LEEDHAM, Simon",Oxford,WTCHG
whgu0527,"CHAPMAN, J Ross",Oxford,WTCHG
xxxx0009,"PARTRIDGE, Michael (Mike)",Oxford,OIRO
