Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
clme0621,whgu0274,1,0.14285714285714285,Journal article,The Journal of Physiology,01/01/2012,Roles of individual prolyl-4-hydroxylase isoforms in the first 24 hours following transient focal cerebral ischaemia: Insights from genetically modified mice,"Chen RL,Nagel S,Papadakis M,Bishop T,Pollard P,Ratcliffe PJ,Pugh CW,Buchan AM","Animals,Body Temperature Regulation,Body Weight,Brain Ischemia,Cerebral Arteries,Cerebral Cortex,Gene Expression Regulation,Genotype,Hypoxia-Inducible Factor-Proline Dioxygenases,Male,Mice,Knockout,Procollagen-Proline Dioxygenase,Protein Isoforms"
olin0081,path0084,2,0.11396011396011396,Journal article|Journal article,Chemistry and Biology|Gut,26/08/2015|07/03/2016,Inflammatory Signaling by NOD-RIPK2 Is Inhibited by Clinically Relevant Type II Kinase Inhibitors.|Impaired antibacterial autophagy links granulomatous intestinal inflammation in Niemann-Pick disease type C1 and XIAP deficiency with NOD2 variants in Crohn's disease.,"Canning P,Ruan Q,Schwerd T,Hrdinka M,Maki JL,Saleh D,Suebsuwong C,Ray S,Brennan PE,Cuny GD,Uhlig HH,Gyrd-Hansen M,Degterev A,Bullock AN|Schwerd T,Pandey S,Yang HT,Bagola K,Jameson E,Jung J,Lachmann RH,Shah N,Patel SY,Booth C,Runz H,Düker G,Bettels R,Rohrbach M,Kugathasan S,Chapel H,Keshav S,Elkadri A,Platt N,Muise AM,Koletzko S,Xavier RJ,Marquardt T,Powrie F,Wraith JE,Gyrd-Hansen M,Platt FM,Uhlig HH",|
clne0024,univ1102,17,3.6702380952380955,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,Magnetic Resonance in Medicine|Translational Stroke Research|Journal of Cerebral Blood Flow and Metabolism|Medical Image Analysis|Neuroimage|Magnetic Resonance in Medicine|Magnetic Resonance in Medicine|NMR in Biomedicine|Medical Image Analysis|Magnetic Resonance in Medicine|Journal of Magnetic Resonance Imaging|International Journal of Stroke|Magnetic Resonance in Medicine|Magnetic Resonance in Medicine|Medical Image Analysis|Magnetic Resonance in Medicine|Stroke,01/04/2011|01/01/2013|07/08/2013|04/07/2013|22/12/2011|24/09/2012|05/04/2012|10/06/2014|27/12/2011|01/01/2013|23/10/2012|01/04/2015|01/08/2013|13/01/2012|01/01/2012|01/01/2012|24/02/2011,"Partial volume correction of multiple inversion time arterial spin labeling MRI data.|Pseudo-Continuous Arterial Spin Labelling MRI for Non-Invasive, Whole-Brain, Serial Quantification of Cerebral Blood Flow Following Aneurysmal Subarachnoid Haemorrhage|Cerebral blood flow quantification using vessel-encoded arterial spin labeling.|A theoretical framework for quantifying blood volume flow rate from dynamic angiographic data and application to vessel-encoded arterial spin labeling MRI.|Quantitative measurement of cerebral physiology using respiratory-calibrated MRI.|Quantitative Bayesian model-based analysis of amide proton transfer MRI.|Modeling dispersion in arterial spin labeling: validation using dynamic angiographic measurements.|Comparing different analysis methods for quantifying the MRI amide proton transfer (APT) effect in hyperacute stroke patients.|A fast analysis method for non-invasive imaging of blood flow in individual cerebral arteries using vessel-encoded arterial spin labelling angiography.|Modeling dispersion in arterial spin labeling: Validation using dynamic angiographic measurements|Evaluating quantitative approaches to dynamic susceptibility contrast MRI among carotid endarterectomy patients.|The dynamics of intracellular pH are associated with final tissue outcome in acute ischemic stroke|Quantitative Bayesian model-based analysis of amide proton transfer MRI|A kinetic model for vessel-encoded dynamic angiography with arterial spin labeling|A fast analysis method for non-invasive imaging of blood flow in individual cerebral arteries using vessel-encoded arterial spin labelling angiography|A kinetic model for vessel-encoded dynamic angiography with arterial spin labeling.|Intracranial hemodynamics is altered by carotid artery disease and after endarterectomy: a dynamic magnetic resonance angiography study.","Chappell MA,Groves AR,MacIntosh BJ,Donahue MJ,Jezzard P,Woolrich MW|Kelly ME,Rowland MJ,Okell TW,Westbrook J,Jezzard P,Pattinson KTS,Corkill R,Kerr RS,Chappell MA|Okell TW,Chappell MA,Kelly ME,Jezzard P|Okell TW,Chappell MA,Jezzard P|Bulte DP,Kelly M,Germuska M,Xie J,Chappell MA,Okell TW,Bright MG,Jezzard P|Chappell MA,Donahue MJ,Tee YK,Khrapitchev AA,Sibson NR,Jezzard P,Payne SJ|Chappell MA,Woolrich MW,Kazan S,Jezzard P,Payne SJ,MacIntosh BJ|Tee YK,Harston GW,Blockley N,Okell TW,Levman J,Sheerin F,Cellerini M,Jezzard P,Kennedy J,Payne SJ,Chappell MA|Chappell MA,Okell TW,Payne SJ,Jezzard P,Woolrich MW|Chappell MA,Woolrich MW,Kazan S,Jezzard P,Payne SJ,MacIntosh BJ|Crane DE,Donahue MJ,Chappell MA,Sideso E,Handa A,Kennedy J,Jezzard P,MacIntosh BJ|Harston G,Mathieson P,Reckless I,Schulz U,Shah K,Tee YK,Blockley N,Okell TW,Sheerin F,Payne SJ,Jezzard P,Chappell MA,Kennedy J|Chappell MA,Donahue MJ,Tee YK,Khrapitchev AA,Sibson NR,Jezzard P,Payne SJ|Okell TW,Chappell MA,Schulz UG,Jezzard P|Chappell MA,Okell TW,Payne SJ,Jezzard P,Woolrich MW|Okell TW,Chappell MA,Schulz UG,Jezzard P|MacIntosh BJ,Sideso E,Donahue MJ,Chappell MA,Günther M,Handa A,Kennedy J,Jezzard P","Artifacts,Cerebral Arteries,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Imaging,Three-Dimensional,Magnetic Resonance Angiography,Reproducibility of Results,Sensitivity and Specificity,Spin Labels||Adult,Blood Flow Velocity,Carotid Arteries,Cerebrovascular Circulation,Female,Hemodynamics,Humans,Image Processing,Computer-Assisted,Imaging,Three-Dimensional,Magnetic Resonance Imaging,Male,Signal-To-Noise Ratio,Spin Labels,Vertebral Artery|Blood volume flow rate quantification,Cerebral arteries,Dynamic angiography,Magnetic resonance imaging,Vessel-encoded pseudocontinuous arterial spin labeling,Adult,Algorithms,Blood Flow Velocity,Blood Volume,Blood Volume Determination,Brain,Cerebrovascular Circulation,Computer Simulation,Female,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Magnetic Resonance Angiography,Male,Models,Cardiovascular,Reproducibility of Results,Sensitivity and Specificity,Young Adult|Adult,Brain,Calibration,Cerebrovascular Circulation,Female,Humans,Magnetic Resonance Imaging,Male,Oxygen,Regional Blood Flow,Respiration|amide proton transfer,chemical exchange saturation transfer,magnetization transfer,Adult,Amides,Bayes Theorem,Body Water,Brain,Computer Simulation,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Magnetic Resonance Imaging,Male,Models,Neurological,Pattern Recognition,Automated,Protons,Reproducibility of Results,Sensitivity and Specificity,Young Adult|Aged,80 and over,Algorithms,Arteries,Blood Flow Velocity,Computer Simulation,Female,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Magnetic Resonance Angiography,Male,Middle Aged,Models,Cardiovascular,Peripheral Arterial Disease,Reproducibility of Results,Sensitivity and Specificity,Spin Labels|Humans,Protons,Amides,Image Interpretation,Computer-Assisted,Magnetic Resonance Imaging,Sensitivity and Specificity,Reproducibility of Results,Brain Chemistry,Algorithms,Aged,80 and over,Female,Male,Stroke|Algorithms,Blood Flow Velocity,Cerebral Arteries,Cerebrovascular Circulation,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Magnetic Resonance Angiography,Reproducibility of Results,Sensitivity and Specificity,Spin Labels,Vertebrobasilar Insufficiency||Aged,80 and over,Algorithms,Blood Flow Velocity,Blood Volume,Brain,Carotid Stenosis,Cerebrovascular Circulation,Contrast Media,Diffusion Magnetic Resonance Imaging,Echo-Planar Imaging,Endarterectomy,Carotid,Female,Gadolinium,Hemodynamics,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Magnetic Resonance Angiography,Male,Middle Aged,Putamen,Somatosensory Cortex,Statistics as Topic|||||Adult,Blood Flow Velocity,Brain,Cerebral Arteries,Cerebrovascular Circulation,Computer Simulation,Female,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Kinetics,Magnetic Resonance Angiography,Models,Cardiovascular,Neurological,Reproducibility of Results,Sensitivity and Specificity,Spin Labels,Young Adult|Aged,80 and over,Carotid Stenosis,Cerebral Arteries,Cerebrovascular Circulation,Endarterectomy,Carotid,Female,Hemodynamics,Humans,Magnetic Resonance Angiography,Male,Middle Aged"
clab0127,whgu0142,1,0.14285714285714285,Journal article,Proceedings of the National Academy of Sciences of USA,23/02/2012,The p53 cofactor Strap exhibits an unexpected TPR motif and oligonucleotide-binding (OB)-fold structure.,"Adams CJ,Pike AC,Maniam S,Sharpe TD,Coutts AS,Knapp S,La Thangue NB,Bullock AN","Amino Acid Motifs,Animals,Carrier Proteins,Chromatin,Crystallography,X-Ray,DNA Damage,E1A-Associated p300 Protein,Genes,p53,Humans,Mice,Models,Molecular,Neoplasm Proteins,Oligonucleotides,Protein Binding,Protein Conformation,Protein Folding,Protein Structure,Tertiary,Tumor Suppressor Protein p53"
clab0035,immd0330,9,0.7988455988455988,Journal article|Journal article|Journal article|Conference paper|Journal article|Journal article|Journal article|Journal article|Journal article,Leukemia|Leukemia|Leukemia|Leukemia Research: clinical and laboratory studies|Oncotarget|Leukemia|Haematologica: the hematology journal|British Journal of Haematology|British Journal of Haematology,01/05/2014|06/12/2014|01/01/2016|01/04/2015||24/12/2013|05/07/2013|01/01/2013|01/10/2013,Whole-exome sequencing in del(5q) myelodysplastic syndromes in transformation to acute myeloid leukemia|Targeted resequencing analysis of 31 genes commonly mutated in myeloid disorders in serial samples from myelodysplastic syndrome patients showing disease progression.|Targeted resequencing analysis of 31 genes commonly mutated in myeloid disorders in serial samples from myelodysplastic syndrome patients showing disease progression|TARGETED RE-SEQUENCING ANALYSIS OF 31 GENES COMMONLY MUTATED IN MYELOID DISORDERS IN SERIAL SAMPLES FROM MYELODYSPLASTIC SYNDROME PATIENTS WITH DISEASE PROGRESSION|ASXL1 mutation correction by CRISPR/Cas9 restores gene function in leukemia cells and increases survival in mouse xenografts.|Whole-exome sequencing in del(5q) myelodysplastic syndromes in transformation to acute myeloid leukemia.|Targeted re-sequencing analysis of 25 genes commonly mutated in myeloid disorders in del(5q) myelodysplastic syndromes.|Mutations in SETBP1 are recurrent in myelodysplastic syndromes and often coexist with cytogenetic markers associated with disease progression|Mutations in SETBP1 are recurrent in myelodysplastic syndromes and often coexist with cytogenetic markers associated with disease progression,"Pellagatti A,Fernandez-Mercado M,Di Genua C,Larrayoz MJ,Killick S,Dolatshad H,Burns A,Calasanz MJ,Schuh A,Boultwood J|Pellagatti A,Roy S,Di Genua C,Burns A,McGraw K,Valletta S,Larrayoz MJ,Fernandez-Mercado M,Mason J,Killick S,Mecucci C,Calasanz MJ,List A,Schuh A,Boultwood J|Pellagatti A,Roy S,Di Genua C,Burns A,McGraw K,Valletta S,Larrayoz MJ,Fernandez-Mercado M,Mason J,Killick S,Mecucci C,Calasanz MJ,List A,Schuh A,Boultwood J|Pellagatti A,Roy S,Di Genua C,Burns A,McGraw K,Larrayoz MJ,Fernandez-Mercado M,Valletta S,Mason J,Killick S,Mecucci C,Calasanz MJ,List A,Schuh A,Boultwood J|Valletta S,Dolatshad H,Bartenstein M,Yip BH,Bello E,Gordon S,Yu Y,Shaw J,Roy S,Scifo L,Schuh A,Pellagatti A,Fulga TA,Verma A,Boultwood J|Pellagatti A,Fernandez-Mercado M,Di Genua C,Larrayoz MJ,Killick S,Dolatshad H,Burns A,Calasanz MJ,Schuh A,Boultwood J|Fernandez-Mercado M,Burns A,Pellagatti A,Giagounidis A,Germing U,Agirre X,Prosper F,Aul C,Killick S,Wainscoat JS,Schuh A,Boultwood J|Fernandez-Mercado M,Pellagatti A,Di Genua C,Boultwood J,Larrayoz MJ,Aranaz P,Calasanz MJ,Winkelmann N,Cross NCP,Burns A,Schuh A|Fernandez-Mercado M,Pellagatti A,Di Genua C,Larrayoz MJ,Winkelmann N,Aranaz P,Burns A,Schuh A,Calasanz MJ,Cross NCP,Boultwood J","|Humans,Myelodysplastic Syndromes,Disease Progression,GTP Phosphohydrolases,Ribonucleoproteins,Membrane Proteins,Nuclear Proteins,Repressor Proteins,Mutation,Genes,p53,Core Binding Factor Alpha 2 Subunit,High-Throughput Nucleotide Sequencing||||Chromosome Deletion,Chromosomes,Human,Pair 5,Exome,Humans,Leukemia,Myeloid,Acute,Myelodysplastic Syndromes|Adult,Aged,80 and over,Anemia,Macrocytic,Chromosome Deletion,Chromosomes,Human,Pair 5,Cohort Studies,Female,Gene Frequency,Gene Targeting,Humans,Male,Middle Aged,Mutation,Myelodysplastic Syndromes,Polymorphism,Single Nucleotide,Sequence Analysis,DNA,Young Adult||"
claridge,clme0494,1,0.16666666666666666,Journal article,Chemical Communications,01/01/2016,Cephalosporins inhibit human metallo β-lactamase fold DNA repair nucleases SNM1A and SNM1B/apollo.,"Lee SY,Brem J,Pettinati I,Claridge TD,Gileadi O,Schofield CJ,McHugh PJ",
immd0082,ocms0037,1,0.07142857142857142,Journal article,Haematologica: the hematology journal,28/05/2013,Homozygous mutations in a predicted endonuclease are a novel cause of congenital dyserythropoietic anemia type I.,"Babbs C,Roberts NA,Sanchez-Pulido L,McGowan SJ,Ahmed MR,Brown JM,Sabry MA,WGS500 Consortium,Bentley DR,McVean GA,Donnelly P,Gileadi O,Ponting CP,Higgs DR,Buckle VJ","Anemia,Dyserythropoietic,Congenital,Endonucleases,Female,Glycoproteins,Homozygote,Humans,Male,Mutation,Missense,Pedigree,Predictive Value of Tests,Protein Structure,Secondary,Tertiary"
bioc0541,card0039,6,0.9226190476190476,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,The FASEB Journal|Methods in Molecular Biology|Methods in Molecular Biology|American Journal of Pathology|Methods in Molecular Biology|Proceedings of the National Academy of Sciences of USA,09/09/2011|01/01/2011|01/01/2011|16/04/2013|01/01/2011|26/03/2012,VCAM-1-targeted magnetic resonance imaging reveals subclinical disease in a mouse model of multiple sclerosis.|Detection of brain pathology by magnetic resonance imaging of iron oxide micro-particles.|Molecular MRI approaches to the detection of CNS inflammation.|Anti-IL-17A treatment reduces clinical score and VCAM-1 expression detected by in vivo magnetic resonance imaging in chronic relapsing EAE ABH mice.|Magnetic resonance imaging of brain inflammation using microparticles of iron oxide.|Molecular MRI enables early and sensitive detection of brain metastases.,"Serres S,Mardiguian S,Campbell SJ,McAteer MA,Akhtar A,Krapitchev A,Choudhury RP,Anthony DC,Sibson NR|Anthony DC,Sibson NR,McAteer MA,Davis B,Choudhury RP|Sibson NR,Anthony DC,van Kasteren S,Dickens A,Perez-Balderas F,McAteer MA,Choudhury RP,Davis BG|Mardiguian S,Serres S,Ladds E,Campbell SJ,Wilainam P,McFadyen C,McAteer M,Choudhury RP,Smith P,Saunders F,Watt G,Sibson NR,Anthony DC|McAteer MA,von Zur Muhlen C,Anthony DC,Sibson NR,Choudhury RP|Serres S,Soto MS,Hamilton A,McAteer MA,Carbonell WS,Robson MD,Ansorge O,Khrapitchev A,Bristow C,Balathasan L,Weissensteiner T,Anthony DC,Choudhury RP,Muschel RJ,Sibson NR","Animals,Brain,Contrast Media,Disease Models,Animal,Disease Progression,Encephalomyelitis,Autoimmune,Experimental,Endothelium,Female,Ferric Compounds,Gadolinium DTPA,Humans,Immunohistochemistry,Magnetic Resonance Imaging,Mice,Multiple Sclerosis,Translational Medical Research,Vascular Cell Adhesion Molecule-1|Animals,Brain,Cell Line,Contrast Media,Ferric Compounds,Magnetic Resonance Imaging,Male,Mice,Particle Size,Rats,Wistar|Animals,Antibodies,Antigens,CD15,Central Nervous System,Endothelial Cells,Ferric Compounds,Inflammation,Magnetic Resonance Imaging,Mice,Rats,Statistics as Topic,Tumor Necrosis Factor-alpha,Vascular Cell Adhesion Molecule-1|Acute Disease,Animals,Antibodies,Monoclonal,Brain,Contrast Media,Drug Evaluation,Preclinical,Encephalomyelitis,Autoimmune,Experimental,Female,Gadolinium DTPA,Gene Expression Regulation,Interleukin-17,Magnetic Resonance Imaging,Mice,Biozzi,Motor Activity,RNA,Messenger,Remission Induction,Secondary Prevention,Severity of Illness Index,Treatment Outcome,Vascular Cell Adhesion Molecule-1|Animals,Encephalitis,Ferric Compounds,Magnetic Resonance Imaging,Mice,Particle Size,Vascular Cell Adhesion Molecule-1|Animals,Brain Neoplasms,Disease Progression,Humans,Immunohistochemistry,Magnetic Resonance Imaging,Mice,Sensitivity and Specificity,Up-Regulation,Vascular Cell Adhesion Molecule-1"
path0636,smlea,4,0.7555555555555555,Journal article|Journal article|Journal article|Journal article,eLife|Developmental Cell|eLife|Nature Chemical Biology,01/01/2013|01/01/2014|23/05/2015|01/01/2011,Crystal structures of the CPAP/STIL complex reveal its role in centriole assembly and human microcephaly.|The centrosome-specific phosphorylation of Cnn by Polo/Plk1 drives Cnn scaffold assembly and centrosome maturation.|The homo-oligomerisation of both Sas-6 and Ana2 is required for efficient centriole assembly in flies.|SAS-6 oligomerization: the key to the centriole?,"Cottee MA,Muschalik N,Wong YL,Johnson CM,Johnson S,Andreeva A,Oegema K,Lea SM,Raff JW,van Breugel M|Conduit PT,Feng Z,Richens JH,Baumbach J,Wainman A,Bakshi SD,Dobbelaere J,Johnson S,Lea SM,Raff JW|Cottee MA,Muschalik N,Johnson S,Leveson J,Raff JW,Lea SM|Cottee MA,Raff JW,Lea SM,Roque H","C. elegans,CPAP,D. melanogaster,STIL,Zebrafish,centriole,centrosome,microcephaly,Binding Sites,Centrioles,Humans,Intracellular Signaling Peptides and Proteins,Microcephaly,Microtubule-Associated Proteins,Point Mutation,Proline,Protein Conformation|Brain,Cells,Cultured,Cytoplasm,Centrosome,Microtubules,Animals,Genetically Modified,Drosophila melanogaster,Protein-Serine-Threonine Kinases,Cell Cycle Proteins,Homeodomain Proteins,Drosophila Proteins,Proto-Oncogene Proteins,Recombinant Fusion Proteins,Spectrometry,Mass,Matrix-Assisted Laser Desorption-Ionization,Two-Hybrid System Techniques,Immunoprecipitation,Mitosis,Amino Acid Sequence,Sequence Homology,Amino Acid,Phosphorylation,Image Processing,Computer-Assisted,Molecular Sequence Data,Protein Multimerization|Centrioles,Animals,Drosophila melanogaster,Cell Cycle Proteins,Microtubule-Associated Proteins,Drosophila Proteins,Crystallography,X-Ray,DNA Mutational Analysis,Protein Conformation,Point Mutation,Protein Multimerization|Animals,Caenorhabditis elegans Proteins,Cell Cycle Proteins,Centrioles,Humans,Models,Molecular,Protein Conformation"
immd0100,immd0218,1,0.07692307692307693,Journal article,Arthritis and Rheumatism,01/11/2013,Endoplasmic reticulum aminopeptidase 1 (ERAP1) plays a critical role in determining the length and sequence of peptides bound and presented by HLA-B27,"Chen L,Fischer R,Peng Y,Reeves E,McHugh K,Ternette N,Hanke T,Dong T,Elliott T,Shastri N,Kollnberger S,James E,Kessler B,Bowness P",
