Institution,Word,Count
Oxford,Humans,10878
Oxford,Female,4183
Oxford,Male,4047
Oxford,Animals,4010
Oxford,Middle Aged,2488
Oxford,Mice,2064
Oxford,Aged,2062
Oxford,Adult,2002
Oxford,Models,1748
Oxford,Cell Line,1263
Oxford,Molecular,1017
Oxford,Genetic,1011
Oxford,Gene Expression Regulation,1006
Oxford,Mutation,961
Oxford,Risk Factors,929
Oxford,Tumor,907
Oxford,Polymorphism,847
Oxford,Magnetic Resonance Imaging,822
Oxford,Signal Transduction,789
Oxford,80 and over,789
Oxford,Neoplasms,786
Oxford,Receptors,774
Oxford,Prospective Studies,763
Oxford,Single Nucleotide,751
Oxford,Young Adult,714
Oxford,Molecular Sequence Data,689
Oxford,RNA,683
Oxford,Case-Control Studies,640
Oxford,DNA,636
Oxford,Protein Binding,631
Oxford,Treatment Outcome,603
Oxford,Cultured,589
Oxford,Genetic Predisposition to Disease,583
Oxford,Protein Structure,582
Oxford,Great Britain,575
Oxford,Cohort Studies,574
Oxford,Prognosis,569
Oxford,Reproducibility of Results,546
Oxford,Inbred C57BL,543
Oxford,Human,537
Oxford,Computer-Assisted,530
Oxford,Cells,528
Oxford,Biological,515
Oxford,Biomarkers,510
Oxford,Time Factors,510
Oxford,Antigens,502
Oxford,Genome-Wide Association Study,487
Oxford,Amino Acid Sequence,486
Oxford,Tertiary,478
Oxford,Adolescent,447
Oxford,Cell Proliferation,445
Oxford,Breast Neoplasms,426
Oxford,Phenotype,422
Oxford,Animal,421
Oxford,Neoplastic,417
Oxford,Randomized Controlled Trials as Topic,416
Oxford,Crystallography,409
Oxford,Research Design,407
Oxford,Brain,406
Oxford,Microscopy,405
Oxford,X-Ray,398
Oxford,Genome,390
Oxford,Genotype,389
Oxford,Prostatic Neoplasms,385
Oxford,Follow-Up Studies,382
Oxford,Child,381
Oxford,Colorectal Neoplasms,379
Oxford,Chromosomes,373
Oxford,Cell Differentiation,371
Oxford,Algorithms,353
Oxford,Disease Models,351
Oxford,Antineoplastic Agents,351
Oxford,T-Lymphocytes,349
Oxford,Knockout,348
Oxford,Predictive Value of Tests,344
Oxford,Sequence Analysis,338
Oxford,Alleles,332
Oxford,Risk Assessment,331
Oxford,Binding Sites,330
Oxford,Carcinoma,328
Oxford,Antibodies,320
Oxford,Protein Conformation,312
Oxford,Base Sequence,312
Oxford,Sensitivity and Specificity,307
Oxford,Phosphorylation,304
Oxford,Stroke,304
Oxford,DNA-Binding Proteins,299
Oxford,Myocardium,291
Oxford,Messenger,282
Oxford,Transcription Factors,281
Oxford,Fluorescence,281
Oxford,Incidence,278
Oxford,Molecular Structure,275
Oxford,Gene Expression Profiling,275
Oxford,Transcription,269
Oxford,Nuclear Proteins,268
Oxford,Genes,266
Oxford,Retrospective Studies,264
Oxford,Membrane Proteins,263
Oxford,Apoptosis,261
Oxford,England,258
Oxford,Infant,258
Oxford,Rats,257
Oxford,Body Mass Index,253
Oxford,Statistical,250
Oxford,Immunohistochemistry,248
Oxford,Inflammation,247
Oxford,Transgenic,245
Oxford,Severity of Illness Index,244
Oxford,DNA Damage,241
Oxford,Europe,237
Oxford,HEK293 Cells,236
Oxford,Genetic Variation,236
Oxford,Disease Progression,231
Oxford,Magnetic Resonance Spectroscopy,227
Oxford,Surveys and Questionnaires,226
Oxford,Preschool,225
Oxford,Blotting,225
Oxford,DNA Repair,224
Oxford,Flow Cytometry,224
Oxford,RNA Interference,223
